Symbol,Company Name,Insider Name,Title,Date,Transation,Share,Price,Amount,File Date
TPL,TEXAS PACIFIC LAND TRUST,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,2020-06-26,Buy,236,572.15,"135,027",2020-06-29 10:42:39
AT,ATLANTIC POWER CORP,Ronan Terrence,Chief Financial Officer,2020-06-24,Buy,"2,600",1.85,"4,810",2020-06-29 9:08:40
AQMS,"Aqua Metals, Inc.",Cotton Stephen,Chief Executive Officer,2020-06-26,Buy,682,1.1,750,2020-06-29 8:55:36
AQMS,"Aqua Metals, Inc.",Merrill Judd,Chief Financial Officer,2020-06-26,Buy,455,1.1,501,2020-06-29 8:55:15
XAIR,"Beyond Air, Inc.",Lisi Steven A.,"CEO, Chairman",2020-06-25,Buy,"35,000",7.45,"260,750",2020-06-29 8:30:17
SLNO,SOLENO THERAPEUTICS INC,SCHULER JACK W,10% Owner,2020-06-26,Buy,"7,575,759",1.65,"12,500,002",2020-06-26 19:49:29
SLNO,SOLENO THERAPEUTICS INC,SCHULER JACK W,10% Owner,2019-10-25,Buy,"2,563,750",1.2,"3,076,500",2020-06-26 19:27:11
SLNO,SOLENO THERAPEUTICS INC,SCHULER JACK W,10% Owner,2019-03-21,Buy,"835,717",2.14,"1,784,559",2020-06-26 19:14:36
EPZM,"Epizyme, Inc.",MOTT DAVID M,Directior,2020-06-26,Buy,"62,019",16.03,"994,165",2020-06-26 19:12:45
APDN,APPLIED DNA SCIENCES INC,Montgomery William W,,2020-06-26,Buy,"190,000",6.68,"1,269,500",2020-06-26 18:47:12
MGY,Magnolia Oil & Gas Corp,CHAZEN STEPHEN I,"Chairman, President & CEO",2020-06-24,Buy,"25,000",5.59,"139,661",2020-06-26 18:14:54
BSIG,BrightSphere Investment Group Inc.,PAULSON & CO. INC.,10% Owner,2020-06-24,Buy,"647,263",9.79,"6,336,705",2020-06-26 18:01:12
TMQ,Trilogy Metals Inc.,PAULSON & CO. INC.,10% Owner,2020-06-24,Buy,"195,514",1.83,"357,769",2020-06-26 17:48:45
BSIG,BrightSphere Investment Group Inc.,Paulson John,Directior 10% Owner,2020-06-24,Buy,"647,263",9.79,"6,336,705",2020-06-26 17:46:13
